--------------------------------------------------------------
--------------------------------------------------------------
The following data gives the positions of possible binding sites for adatoms and admolecules across a cluster or surface.

The following sites are binding sites for top sites.
Site			Binding Position						Surface Position
Site 2	[10.3014453  10.86212968 18.17447287] 	[10.180405 11.33765  17.1832  ]
Site 3	[ 9.74161178 13.92505334 18.13073385] 	[ 9.810625 13.41037  17.1541  ]
Site 4	[ 8.09623734 13.04825093 17.90135436] 	[ 8.684945 12.796485 16.99948 ]
Site 5	[ 8.38619197 11.13230425 17.87981931] 	[ 8.90931 11.52222 16.98663]
Site 6	[11.6119414  11.33446653 17.80746309] 	[11.33693 11.56333 16.76013]
Site 7	[11.17646357 14.02215676 17.74644782] 	[10.96715 13.63605 16.73103]
Site 8	[13.4471945  13.11807575 17.37880044] 	[13.024415 12.957865 16.369335]
Site 9	[13.09479588 11.61018772 17.22641146] 	[12.52606 11.7959  16.29578]
Site 10	[12.56920101 14.29721654 17.1491326 ] 	[12.14382  13.85344  16.229155]
Site 11	[ 9.29006672 10.06714112 17.41712243] 	[ 9.510745 10.55552  16.44861 ]
Site 12	[12.41117686 10.25901128 17.13581267] 	[11.97097 10.60352 16.18083]
Site 13	[11.56613787  8.9490625  17.0358164 ] 	[11.422545  9.464585 16.067805]
Site 14	[ 9.95904459  8.63969089 16.28583134] 	[10.15563   9.41638  15.518315]
Site 15	[ 8.53975224 14.35809908 17.367509  ] 	[ 8.9166   13.902505 16.43236 ]
Site 16	[11.48103633 15.34941742 16.96629497] 	[11.21895  14.73378  16.085105]
Site 17	[10.24779467 16.16164221 16.85126706] 	[10.29026 15.56142 15.92317]
Site 18	[ 8.84633072 15.71270062 16.60135884] 	[ 9.165645 15.01855  15.80132 ]
Site 19	[ 7.4070328  11.89813338 17.18193938] 	[ 8.015285 12.014355 16.26489 ]
Site 20	[ 7.51300146 14.97001656 16.43858855] 	[ 8.039965 14.404665 15.6467  ]
Site 21	[ 6.28302451 12.50379369 16.21128035] 	[ 7.120935 12.514465 15.48885 ]
Site 22	[ 6.31082278 14.05667236 16.33995114] 	[ 6.950395 13.76482  15.48607 ]
Site 23	[ 8.6285635   8.83502083 16.08257531] 	[ 8.884535  9.60095  15.321745]
Site 24	[ 6.57191782 11.04810084 16.24364315] 	[ 7.3453 11.2402 15.476 ]
Site 25	[ 7.0394482   9.5705495  16.30844231] 	[ 7.59571 10.00509 15.45679]
Site 26	[14.34469883 11.65407588 16.58656031] 	[13.658455 11.998055 15.790035]
Site 27	[13.82239038 14.70330667 16.43460129] 	[13.276215 14.055595 15.72341 ]
Site 28	[15.42613793 12.41561746 15.03434283] 	[14.349735 12.492895 14.79159 ]
Site 29	[14.98291041 14.35885073 15.02729853] 	[14.079975 13.776795 14.7634  ]
Site 30	[13.23729682  9.31338021 16.43114837] 	[12.611675  9.697155 15.603455]
Site 31	[14.79007851 11.13361395 15.27026042] 	[13.85138  11.33093  14.718035]
Site 32	[14.21119419  9.6670125  15.12560895] 	[13.357625 10.18579  14.650445]
Site 33	[11.96864493 16.4784691  16.115711  ] 	[11.46693  15.77881  15.421295]
Site 34	[13.94726679 15.36867166 15.04728777] 	[13.19938 14.67237 14.62322]
Site 35	[12.78316096 16.43790251 14.82733441] 	[12.229615 15.561405 14.439845]
Site 36	[10.54812687  7.64833584 15.59026515] 	[10.796335  8.510015 14.94094 ]
Site 37	[13.68066003  8.49501926 14.93763508] 	[12.8092    9.046855 14.53742 ]
Site 38	[12.20524474  7.17756106 14.58163549] 	[11.90547  8.20773 14.31393]
Site 39	[ 8.95427293 16.88656596 15.71637985] 	[ 9.413625 16.06358  15.13751 ]
Site 40	[11.76696325 17.38191903 14.42090694] 	[11.300925 16.389045 14.27791 ]
Site 41	[ 9.87262476 17.67547995 14.1546921 ] 	[10.040675 16.58346  14.10334 ]
Site 42	[ 8.03573611  7.99625309 15.1798946 ] 	[ 8.240595  8.86595  14.526495]
Site 43	[10.68427885  7.19751556 14.30934059] 	[10.638555  8.159525 13.76444 ]
Site 44	[ 9.39963434  6.79981368 13.73212044] 	[ 9.621435  7.737255 13.18584 ]
Site 45	[ 8.15185277  7.56702741 13.85956065] 	[ 8.6311    8.460925 13.41683 ]
Site 46	[ 6.66062627 15.65114783 15.43821992] 	[ 7.19944  14.880865 14.85503 ]
Site 47	[ 8.5639954  17.04805244 14.27459367] 	[ 8.91606 16.04059 13.98149]
Site 48	[ 7.09829675 16.30996962 14.12011908] 	[ 7.73926  15.443595 13.87053 ]
Site 49	[ 5.33118378 12.86310889 15.25068886] 	[ 6.28041  12.990665 14.69718 ]
Site 50	[ 5.78647023 10.31018369 15.27117895] 	[ 6.70136 10.5052  14.68075]
Site 51	[ 5.36086792 10.86881458 13.73348588] 	[ 6.41812  11.143815 13.558815]
Site 52	[ 5.1779128  12.4565617  13.80077374] 	[ 6.258615 12.38173  13.57346 ]
Site 53	[ 5.89693666 15.6126916  13.76036946] 	[ 6.64969 14.80375 13.7099 ]
Site 54	[ 5.00066226 13.8186415  13.49164745] 	[ 6.088075 13.632085 13.57068 ]
Site 55	[ 5.60872775  9.60512681 13.63522195] 	[ 6.66853   9.908705 13.539605]
Site 56	[ 6.70598288  7.96674975 13.65690514] 	[ 7.342275  8.865065 13.551875]
Site 57	[15.32499383 13.33660733 13.95003405] 	[14.2729  13.10967 13.6914 ]
Site 58	[14.98545592 10.25335848 14.05666187] 	[14.048905 10.68063  13.652   ]
Site 59	[15.53513779 12.63746571 12.66191937] 	[14.45266 12.41271 12.63003]
Site 60	[15.63715134 10.94221386 12.58022185] 	[14.542915 11.08952  12.49151 ]
Site 61	[13.75424279 16.10473892 13.65318516] 	[13.033375 15.282605 13.479835]
Site 62	[13.39511546 15.0806894  12.28964176] 	[13.06269  14.214995 12.891995]
Site 63	[15.20143607 14.11613301 12.49937662] 	[14.1829  13.69661 12.60184]
Site 64	[13.25691989  7.91297334 13.85391149] 	[12.65142   8.696365 13.36092 ]
Site 65	[14.63122141  8.29112559 13.38521891] 	[13.809935  8.666605 12.747125]
Site 66	[15.05200648  9.58516137 12.72406241] 	[14.04916  9.94438 12.42392]
Site 67	[10.96412691 17.45958411 13.17962193] 	[10.80336  16.366055 13.12189 ]
Site 68	[12.9848347  15.43949246 12.14873133] 	[12.092925 15.10403  12.70862 ]
Site 69	[11.84245318 16.99670678 11.68292111] 	[11.51629  15.976485 11.96648 ]
Site 70	[10.88690542  6.4377753  13.01113127] 	[10.73057  7.43497 12.55883]
Site 71	[13.17064284  6.90005203 13.06599024] 	[12.906205  7.82748  12.523635]
Site 72	[12.20619439  6.38399782 12.41725337] 	[11.89739   7.34282  11.959705]
Site 73	[ 7.85926472 16.93762329 12.97372438] 	[ 8.36631  15.963475 12.83636 ]
Site 74	[10.43556788 17.23524233 11.54415693] 	[10.25604 16.1709  11.79191]
Site 75	[ 8.75175413 17.56879438 11.88697162] 	[ 8.948545 16.48078  11.859465]
Site 76	[ 8.153293    6.84926942 12.54555048] 	[ 8.723115  7.73637  12.21122 ]
Site 77	[ 9.6275924   5.49927639 11.22635304] 	[ 9.83788   6.503025 10.81182 ]
Site 78	[ 8.41171051  6.20813652 11.19578664] 	[ 8.82642   7.221115 11.030905]
Site 79	[10.92206023  5.84237817 11.62790956] 	[10.88027   6.92055  11.381105]
Site 80	[ 6.28350886 15.3424371  11.28958128] 	[ 7.156735 14.738595 11.60071 ]
Site 81	[ 7.07369647 16.74096006 11.78586493] 	[ 7.771745 15.883785 11.748505]
Site 82	[ 5.6298381  14.67319327 12.58812144] 	[ 6.627895 14.194815 12.58618 ]
Site 83	[ 6.15082549  8.92022195 12.67057917] 	[ 7.059035  9.50368  12.42994 ]
Site 84	[ 5.27661862 11.00896338 11.17377605] 	[ 6.378615 11.10371  11.211515]
Site 85	[ 5.15704876  9.61539738 11.79209216] 	[ 6.2       9.77614  11.461545]
Site 86	[ 5.13340986 11.64360514 12.53276667] 	[ 6.225785 11.785235 12.432315]
Site 87	[ 7.14913021  7.12939122 11.55719917] 	[ 7.836085  7.944785 11.261895]
Site 88	[ 6.20094965  7.93653068 11.84564705] 	[ 6.873745  8.7325   11.473815]
Site 89	[13.70638491 14.52222378 11.82161671] 	[13.24245  13.518035 11.830625]
Site 90	[13.18681378 15.06131124 11.35518144] 	[12.597875 14.20209  10.98501 ]
Site 91	[13.44907051 13.50380331 10.75830974] 	[12.533645 12.923725 10.997725]
Site 92	[12.41890093 15.57953905 11.48612619] 	[11.545605 14.908875 11.37864 ]
