--------------------------------------------------------------
--------------------------------------------------------------
The following data gives the positions of possible binding sites for adatoms and admolecules across a cluster or surface.

The following sites are binding sites for top sites.
Site		Binding Position			Surface Position		Indices of atoms involved
Site 21	[14.87736719 11.51137202 15.49009431]	[13.9583914  11.93654499 15.06031362]	[6, 7, 22]
Site 22	[14.20761233 14.90418029 15.32419119]	[13.51982602 14.12915439 14.95502341]	[6, 8, 23]
Site 23	[15.31362702 13.34174816 14.41532457]	[14.23957054 13.10899278 14.36812691]	[6, 22, 23]
Site 24	[13.83379787  9.18651575 15.3234197 ]	[12.93234348  9.64509793 14.89088951]	[7, 10, 24]
Site 25	[14.66521963 10.30394057 14.72574177]	[13.74830608 10.74085824 14.30340009]	[7, 22, 24]
Site 26	[12.36414151 16.65061765 14.9351069 ]	[11.68006568 15.85461314 14.60583941]	[8, 11, 25]
Site 27	[13.48742351 15.9228095  14.41777845]	[12.82335351 15.1139543  14.07900966]	[8, 23, 25]
Site 28	[10.93202026  7.34170313 14.75320122]	[11.10273987  8.37694057 14.4228404 ]	[10, 12, 26]
Site 29	[13.16676195  7.84082678 14.16539471]	[12.44208542  8.6610527  14.05551587]	[10, 24, 26]
Site 30	[ 8.98985965 17.12172279 14.51178627]	[ 9.49598478 16.16273464 14.32691041]	[11, 13, 28]
Site 31	[10.9158661  17.46178713 13.62653514]	[10.74020335 16.38266709 13.74754157]	[11, 25, 28]
Site 32	[ 7.83294712  7.77379727 14.20434339]	[ 8.05397172  8.80946458 13.9067844 ]	[12, 16, 32]
Site 33	[10.3572881   6.93607877 13.86376211]	[10.29941447  7.85544945 13.26258976]	[12, 26, 29]
Site 34	[ 8.47466306  7.21765959 13.5391409 ]	[ 8.9820659   8.05033182 13.0300247 ]	[12, 29, 32]
Site 35	[ 6.69499211 15.94583069 14.31354829]	[ 7.22454434 15.00854263 14.08757148]	[13, 15, 30]
Site 36	[ 7.88824741 16.71892353 13.69706381]	[ 8.3728301  15.75223925 13.49531862]	[13, 28, 30]
Site 37	[ 5.1242867  12.85997514 14.04684798]	[ 6.20681431 13.00978103 13.92157955]	[14, 15, 77]
Site 38	[ 5.51352688 10.33375463 14.01113586]	[ 6.58886622 10.5247259  13.88008135]	[14, 16, 31]
Site 39	[ 5.2171756  11.62287017 13.27767348]	[ 6.29867024 11.78620585 13.16066586]	[14, 31, 77]
Site 40	[ 5.50674807 14.71598044 13.02835984]	[ 6.45345457 14.20896436 13.2664386 ]	[15, 30, 77]
Site 41	[ 6.09448531  8.84336046 13.01475522]	[ 7.01316321  9.43213513 13.15395043]	[16, 31, 32]
Site 42	[15.39323901 13.27844384 12.97559975]	[14.31938803 13.04556238 12.92450871]	[22, 23, 59]
Site 43	[15.16637249 10.12024281 13.04033165]	[14.19318923 10.56949317 12.79317086]	[22, 24, 70]
Site 44	[15.5812726  11.74471651 12.06006268]	[14.48309203 11.70174953 12.10646618]	[22, 59, 70]
Site 45	[13.29658347 15.21122242 12.11748136]	[12.73194246 14.78881901 12.96173007]	[23, 25, 34]
Site 46	[13.73827095 14.65879764 11.83379122]	[13.50823245 13.7405887  12.39412562]	[23, 34, 59]
Site 47	[13.48634519  7.79227124 13.70862642]	[13.09114411  8.40947984 12.8883401 ]	[24, 26, 35]
Site 48	[15.05243209  9.16679177 12.60585826]	[14.02628532  9.22216    12.2134845 ]	[24, 35, 70]
Site 49	[11.05960061 17.18625081 12.05485319]	[10.87514917 16.12392976 12.27268719]	[25, 28, 66]
Site 50	[12.68939211 15.51428988 11.54687552]	[11.72360046 15.27074052 12.01370545]	[25, 34, 66]
Site 51	[11.30243142  6.25498573 12.45500619]	[11.12935058  7.24092956 11.99898229]	[26, 29, 76]
Site 52	[12.778368    6.5298336  12.44916378]	[12.58173468  7.51084781 11.99205716]	[26, 35, 76]
Site 53	[ 7.89297491 17.03071377 12.33637194]	[ 8.37696582 16.07171902 12.09955582]	[28, 30, 73]
Site 54	[ 9.88094523 17.28114024 11.28053145]	[ 9.63506632 16.22347708 11.45629323]	[28, 66, 73]
Site 55	[ 7.87322165  6.76278871 11.84715511]	[ 8.45912765  7.63717766 11.52753328]	[29, 32, 71]
Site 56	[ 8.62284624  5.93195408 10.90831254]	[ 9.19966223  6.81633758 10.59985002]	[29, 68, 71]
Site 57	[10.71885128  5.62190924 11.28164038]	[10.5525366   6.61497185 10.83873397]	[29, 68, 76]
Site 58	[ 6.63238451 15.79524137 11.02827913]	[ 7.56250866 15.27102094 11.29297142]	[30, 72, 73]
Site 59	[ 5.84451095 14.65852019 11.61347495]	[ 6.78728318 14.15196289 11.86760135]	[30, 72, 77]
Site 60	[ 5.91578407  8.86695652 12.38568275]	[ 6.71207716  9.34955036 11.80000322]	[31, 32, 74]
Site 61	[ 5.221967   10.58853062 10.92262323]	[ 6.29750815 10.36119257 10.88352526]	[31, 61, 74]
Site 62	[ 5.22381625 11.54779686 11.42378006]	[ 6.30839823 11.7052573  11.51805698]	[31, 61, 77]
Site 63	[ 6.6173852   7.45452819 11.36106631]	[ 7.22994741  8.31372565 11.05034577]	[32, 71, 74]
Site 64	[13.68957397 14.65751489 11.56849525]	[13.20119404 13.76170978 11.15737697]	[34, 59, 62]
Site 65	[13.25875318 13.72766417 10.44709976]	[13.115232   12.90993489 11.16870942]	[34, 59, 63]
Site 66	[13.6861731  13.29808306 11.05664725]	[12.67413656 13.39463001 10.63657494]	[34, 62, 63]
Site 67	[12.73282757 15.44640005 11.37142829]	[12.05879501 14.70720533 10.91396651]	[34, 62, 66]
Site 68	[15.17138236  8.56111926 10.72301071]	[14.11107383  8.80415324 10.8863518 ]	[35, 60, 70]
Site 69	[13.83770396  6.73878064 10.53603216]	[13.28211463  7.65350367 10.7902019 ]	[35, 60, 76]
Site 70	[11.58462319 11.55028303  5.14100216]	[11.39513997 11.73633356  6.20846706]	[39, 40, 41]
Site 71	[ 9.90865315 12.86490471  5.37252183]	[10.30644191 12.57407148  6.35597499]	[39, 40, 45]
Site 72	[13.29856933 12.4704028   6.03311915]	[12.51172081 12.32477832  6.78787933]	[39, 41, 47]
Site 73	[10.58306425 14.58679106  6.40022127]	[10.75893637 13.69856985  7.02482681]	[39, 45, 48]
Site 74	[12.69656826 14.34858962  6.80804561]	[12.11513807 13.54807692  7.28879334]	[39, 47, 48]
Site 75	[11.3683084  10.14167286  5.34614741]	[11.17841073 10.32487398  6.41403141]	[40, 41, 43]
Site 76	[9.96950541 9.57784017 5.21833184]	[9.81132327 9.77480136 6.288932  ]	[40, 42, 43]
Site 77	[ 8.27341573 10.89480063  5.52722857]	[ 8.72165007 10.60037109  6.4876437 ]	[40, 42, 46]
Site 78	[ 8.54631732 12.25355001  5.79396132]	[ 9.00003947 11.98818164  6.76025105]	[40, 45, 46]
Site 79	[12.503872    9.28759266  5.69354682]	[12.31515531  9.46983962  6.76180337]	[41, 43, 44]
Site 80	[14.24917672 10.16178581  6.66008204]	[13.43015104 10.02164133  7.38088469]	[41, 44, 50]
Site 81	[14.22913992 11.5803848   6.88747113]	[13.4099873  11.46512045  7.612525  ]	[41, 47, 50]
Site 82	[13.93456316 11.474062    8.13589104]	[12.91911039 11.89482416  8.09328967]	[41, 47, 63]
Site 83	[13.73826958 12.02729377  8.01017989]	[13.22982668 11.10178125  8.31825845]	[41, 50, 63]
Site 84	[9.56239452 7.78771481 6.15580479]	[9.53644783 8.5874323  6.91064167]	[42, 43, 52]
Site 85	[6.83083114 9.86442524 6.7110866 ]	[7.7795586  9.94541285 7.26186534]	[42, 46, 56]
Site 86	[7.58952245 7.93781123 7.09176023]	[8.28205496 8.68887391 7.49956358]	[42, 52, 56]
Site 87	[12.08809017  7.47324879  6.61416508]	[12.03483729  8.27157531  7.36904182]	[43, 44, 54]
Site 88	[10.65524849  7.13564897  6.89250336]	[10.62321727  7.93924061  7.64297953]	[43, 52, 54]
Site 89	[14.87223312  8.83756953  8.183938  ]	[13.83943725  9.16236378  8.3784666 ]	[44, 50, 60]
Site 90	[13.54726316  7.14843436  8.14891739]	[12.9808993   8.06989738  8.34926182]	[44, 54, 60]
Site 91	[ 7.56106624 13.04722321  6.46002143]	[ 8.00144078 12.79351989  7.43557507]	[45, 46, 53]
Site 92	[ 9.74480678 15.14026329  7.44048259]	[ 9.92932871 14.24634122  8.05436776]	[45, 48, 57]
Site 93	[ 8.2654428  14.81561644  7.44813948]	[ 8.47823556 13.9271811   8.06083996]	[45, 53, 57]
Site 94	[ 6.07700499 12.04709253  7.87281668]	[ 7.06712752 12.16037314  8.33846127]	[46, 53, 61]
Site 95	[ 6.12999436 10.67225921  7.96629097]	[ 7.12363474 10.70007665  8.43735889]	[46, 56, 61]
Site 96	[13.18876492 14.76947153  8.09917476]	[12.60848969 13.96989765  8.58287123]	[47, 48, 62]
Site 97	[14.37191546 12.2644633   9.19777183]	[13.49733032 11.78902624  8.72973291]	[47, 50, 63]
Site 98	[14.16511138 12.96516899  9.41877343]	[13.09241545 13.07050483  9.19916513]	[47, 62, 63]
Site 99	[10.3790293  16.03213196  8.82878988]	[10.49002824 15.04508441  9.3014593 ]	[48, 57, 66]
Site 100	[12.27511731 15.84935261  9.20387892]	[11.81298752 14.91913377  9.56599625]	[48, 62, 66]
Site 101	[15.25238315  9.44198128  9.61790032]	[14.19581734  9.72934465  9.72321403]	[50, 60, 70]
Site 102	[14.61045997 11.72919863  9.86498509]	[13.87387415 10.91252799  9.84284002]	[50, 63, 70]
Site 103	[10.32479212  6.16745705  7.91211743]	[10.29208535  6.9689491   8.66480645]	[52, 54, 68]
Site 104	[7.42264921 7.36263711 8.37674701]	[8.11135632 8.10040945 8.81421072]	[52, 56, 71]
Site 105	[8.37546387 6.25638699 8.82393023]	[9.03461727 7.02867633 9.24711573]	[52, 68, 71]
Site 106	[ 7.28095065 15.1309507   9.03814462]	[ 7.75324993 14.15330451  9.21461364]	[53, 57, 72]
Site 107	[ 5.81164445 13.31855416  9.41663866]	[ 6.87989284 13.05626435  9.42366926]	[53, 61, 72]
Site 108	[13.08282857  6.57528174  9.37399379]	[12.50832019  7.48622868  9.59785935]	[54, 60, 76]
Site 109	[11.75512966  5.77654901  9.41627347]	[11.23112626  6.71761511  9.63946627]	[54, 68, 76]
Site 110	[5.59724731 9.92211937 9.02234853]	[6.56199583 9.90774695 9.5506039 ]	[56, 61, 74]
Site 111	[6.36600617 7.82371097 9.24590837]	[7.04722105 8.56461869 9.6897575 ]	[56, 71, 74]
Site 112	[ 9.67798146 16.47698347  9.4783915 ]	[ 9.48463862 15.66054899 10.18976572]	[57, 66, 73]
Site 113	[ 7.52330278 15.53157839  9.35034362]	[ 8.19895347 15.08792921 10.09644786]	[57, 72, 73]
Site 114	[14.24120259 12.98337302  9.67822875]	[13.4393123  13.0742454  10.42570061]	[59, 62, 63]
Site 115	[14.6306271  11.83936157 10.02351549]	[13.91005472 11.70931147 10.84440672]	[59, 63, 70]
Site 116	[ 5.56935155 13.2158021  10.52057128]	[ 6.5503709  12.87183101 10.88013341]	[61, 72, 77]
--------------------------------------------------------------
The following sites are binding sites for four-fold sites.
Site		Binding Position			Surface Position		Indices of atoms involved
--------------------------------------------------------------
