--------------------------------------------------------------
--------------------------------------------------------------
The following data gives the positions of possible binding sites for adatoms and admolecules across a cluster or surface.

The following sites are binding sites for top sites.
Site		Binding Position			Surface Position		Indices of atoms involved
Site 54	[ 9.07180853 13.79992529  6.00897234]	[ 9.29816955 13.39688713  7.00713111]	[45]
Site 55	[ 8.80050065 15.6245582   8.44673501]	[ 9.11530105 14.78856734  9.08862284]	[57]
Site 56	[ 6.28819337 14.73119888 10.18125279]	[ 7.12321268 14.07525736 10.46845215]	[72]
Site 57	[ 7.94845103 17.40573274 10.55787648]	[ 8.35834669 16.39996292 10.73226859]	[73]
Site 58	[ 5.01227911 13.3961444  12.66578124]	[ 6.03267024 13.04278878 12.45615837]	[77]
--------------------------------------------------------------
The following sites are binding sites for bridge sites.
Site		Binding Position			Surface Position		Indices of atoms involved
Site 1	[11.06968615 12.69392725 18.22220375]	[10.72608089 12.46056652 17.20363701]	[0, 1]
Site 2	[10.38672662 10.83332872 18.05733058]	[10.17489156 11.28547656 17.07718354]	[0, 2]
Site 3	[ 9.77611969 13.86672517 17.99546589]	[ 9.82976453 13.3266027  17.03870576]	[0, 3]
Site 4	[ 8.16856513 13.08865329 17.78917665]	[ 8.71441635 12.72689041 16.90533613]	[0, 4]
Site 5	[ 8.35859416 11.08306646 17.73357535]	[ 8.94387222 11.44580621 16.87574701]	[0, 5]
Site 6	[11.45447754 11.33511009 17.7154668 ]	[11.32075926 11.51374403 16.63833666]	[1, 2]
Site 7	[11.14307106 13.92298085 17.62282456]	[10.97563223 13.55487017 16.59985888]	[1, 3]
Site 8	[13.39140362 13.15703339 17.29453833]	[13.01998068 12.9178776  16.28714094]	[1, 6]
Site 9	[13.1133105  11.63353881 17.13255219]	[12.51685265 11.7594214  16.21691493]	[1, 7]
Site 10	[12.49761176 14.25291295 17.0417467 ]	[12.12905987 13.79101187 16.11394451]	[1, 8]
Site 11	[ 9.33549487 10.26637734 17.3662225 ]	[ 9.5385506  10.49898372 16.31044665]	[2, 5]
Site 12	[12.3627525  10.37297538 17.09427856]	[11.96566332 10.58433145 16.09046145]	[2, 7]
Site 13	[11.64512293  9.01890112 16.98145062]	[11.43354342  9.44203902 15.98838042]	[2, 10]
Site 14	[ 9.93124664  8.78430844 16.36285588]	[10.14464506  9.52308933 15.57630397]	[2, 12]
Site 15	[ 8.62060691 14.24759955 17.25564487]	[ 8.96396769 13.82119406 16.30155801]	[3, 4]
Site 16	[11.46612838 15.29595361 16.81349645]	[11.23274351 14.65704805 15.94901326]	[3, 8]
